当前时刻	小车位置	摆杆偏角	指标11	指标12	指标2	估计误差能量	
2.490000	-0.003864	0.000000	0.000679	0.003158	0.000013	0.000016
2.500000	-0.002821	0.000000	0.006839	0.008256	0.000016	0.000017
2.509000	-0.001815	0.014544	0.001630	0.011971	0.000055	0.000035
2.520000	-0.000662	-0.003491	0.015590	0.030150	0.000111	0.000056
2.530000	0.000405	-0.003491	0.022497	0.013035	0.000153	0.000072
2.540000	0.001447	0.000000	0.027080	0.030075	0.000141	0.000068
2.549000	0.002478	0.014544	0.037431	0.034727	0.000174	0.000084
2.560000	0.003606	0.014544	0.005108	0.008011	0.000167	0.000081
2.570000	0.004710	0.000000	0.016528	0.027958	0.000143	0.000071
2.580000	0.005790	0.000000	0.014837	0.003057	0.000126	0.000064
2.590000	0.006869	0.000000	0.015607	0.016175	0.000136	0.000068
2.600000	0.008035	0.013963	0.007637	0.010084	0.000117	0.000060
2.610000	0.009114	0.013963	0.009228	0.002461	0.000104	0.000054
2.620000	0.010230	0.000000	0.016817	0.016129	0.000112	0.000057
2.630000	0.011322	0.004987	0.008955	0.009632	0.000090	0.000049
2.640000	0.012524	0.004987	0.006324	0.006459	0.000075	0.000043
2.650000	0.013591	0.021817	0.010643	0.010261	0.000135	0.000070
2.660000	0.014695	0.000000	0.009189	0.021985	0.000171	0.000081
2.670000	0.015824	0.000000	0.021214	0.023225	0.000172	0.000082
2.680000	0.017002	0.004987	0.021881	0.019609	0.000172	0.000082
2.690000	0.018057	0.021817	0.003885	0.006367	0.000260	0.000121
2.700000	0.019099	0.021817	0.023145	0.040835	0.000225	0.000107
2.710000	0.020179	0.002909	0.024939	0.012012	0.000221	0.000105
2.720000	0.021369	0.002909	0.022704	0.032991	0.000218	0.000104
2.730000	0.022374	0.014544	0.020616	0.016226	0.000220	0.000106
2.740000	0.023356	0.006981	0.004906	0.002098	0.000139	0.000069
2.750000	0.024349	0.006981	0.028679	0.032028	0.000090	0.000045
2.759000	0.025380	0.009973	0.025913	0.026680	0.000040	0.000026
2.770000	0.026471	0.019947	0.010424	0.020460	0.000039	0.000029
2.780000	0.027453	0.019947	0.002927	0.012780	0.000056	0.000036
2.790000	0.028397	0.008727	0.008225	0.003435	0.000061	0.000038
2.799000	0.029354	0.017453	0.015733	0.013854	0.000058	0.000038
2.810000	0.030409	0.017453	0.020349	0.019943	0.000061	0.000040
2.820000	0.031329	0.031416	0.010675	0.000587	0.000140	0.000074
2.830000	0.032212	0.031416	0.017586	0.002006	0.000191	0.000097
2.840000	0.033046	0.034907	0.033549	0.025552	0.000260	0.000131
2.850000	0.033930	0.026180	0.033313	0.030918	0.000256	0.000129
2.860000	0.034690	0.026180	0.039170	0.038122	0.000254	0.000128
2.870000	0.035389	0.030543	0.006344	0.005397	0.000150	0.000081
2.880000	0.036003	0.034907	0.009060	0.002071	0.000110	0.000062
2.890000	0.036591	0.034907	0.006818	0.002361	0.000048	0.000033
2.900000	0.037021	0.039270	0.015103	0.021988	0.000094	0.000052
2.910000	0.037364	0.039270	0.003406	0.014514	0.000126	0.000065
2.920000	0.037622	0.039270	0.021226	0.032675	0.000137	0.000069
2.930000	0.037806	0.034907	0.017880	0.017717	0.000104	0.000054
2.940000	0.037892	0.030543	0.012465	0.009842	0.000085	0.000046
2.950000	0.037904	0.030543	0.006815	0.008264	0.000038	0.000027
2.960000	0.037892	0.039270	0.007467	0.011316	0.000035	0.000024
2.970000	0.037879	0.039270	0.000842	0.001073	0.000036	0.000023
2.980000	0.037806	0.034907	0.002753	0.003918	0.000038	0.000023
2.990000	0.037610	0.008727	0.025182	0.024231	0.000296	0.000138
3.000000	0.037278	0.008727	0.009605	0.011990	0.000455	0.000214
3.009000	0.036861	0.005818	0.030985	0.046792	0.000561	0.000270
3.020000	0.036358	0.012467	0.023842	0.028137	0.000553	0.000273
3.030000	0.035868	0.012467	0.022926	0.027605	0.000558	0.000277
3.040000	0.035389	0.014544	0.004167	0.005111	0.000299	0.000160
3.049000	0.034948	0.006981	0.017858	0.018159	0.000159	0.000094
3.060000	0.034482	0.006981	0.006256	0.001773	0.000035	0.000033
3.070000	0.034101	0.004987	0.006046	0.011451	0.000031	0.000028
3.080000	0.033733	0.014544	0.004351	0.012212	0.000047	0.000030
3.090000	0.033402	0.014544	0.009189	0.010560	0.000065	0.000036
3.100000	0.033071	0.002909	0.007660	0.012865	0.000062	0.000033
3.110000	0.032826	0.002909	0.007707	0.007328	0.000060	0.000033
3.120000	0.032605	0.004987	0.009150	0.009039	0.000048	0.000027
3.130000	0.032409	0.005818	0.007241	0.007506	0.000024	0.000020
3.140000	0.032175	0.005818	0.002081	0.001933	0.000004	0.000014
3.150000	0.031991	0.000000	0.001763	0.003400	0.000004	0.000011
3.160000	0.031820	0.004987	0.000730	0.001586	0.000013	0.000006
3.170000	0.031660	0.004987	0.000322	0.001638	0.000012	0.000006
3.180000	0.031501	0.007480	0.004039	0.002632	0.000005	0.000009
3.190000	0.031354	0.014544	0.004258	0.000806	0.000049	0.000030
3.200000	0.031219	0.014544	0.006137	0.018967	0.000076	0.000041
3.210000	0.031084	0.000000	0.000996	0.006118	0.000099	0.000051
3.220000	0.030924	0.004987	0.002678	0.002943	0.000099	0.000051
3.230000	0.030753	0.004987	0.005460	0.006063	0.000091	0.000048
3.240000	0.030581	0.002909	0.007884	0.008229	0.000040	0.000027
3.250000	0.030372	0.002909	0.007292	0.006195	0.000004	0.000012
3.259000	0.030164	0.002909	0.002440	0.001816	0.000020	0.000003
3.270000	0.029918	0.004987	0.001662	0.000183	0.000019	0.000003
3.280000	0.029698	0.004987	0.002475	0.000250	0.000019	0.000003
3.290000	0.029465	0.007480	0.001582	0.007884	0.000015	0.000004
3.299000	0.029231	0.000000	0.009899	0.008694	0.000008	0.000007
3.310000	0.028974	0.000000	0.010098	0.008054	0.000004	0.000009
3.320000	0.028729	0.004987	0.010530	0.013272	0.000002	0.000010
3.330000	0.028495	0.007480	0.019441	0.015209	0.000008	0.000014
3.340000	0.028262	0.007480	0.021036	0.023566	0.000009	0.000014
3.350000	0.028005	0.000000	0.013580	0.010676	0.000008	0.000014
3.360000	0.027784	0.000000	0.013022	0.010622	0.000008	0.000014
3.370000	0.027551	0.017453	0.037309	0.012609	0.000111	0.000057
3.380000	0.027318	0.002909	0.027943	0.025983	0.000103	0.000053
3.390000	0.027048	0.002909	0.025898	0.027134	0.000096	0.000051
3.400000	0.026803	0.004987	0.026872	0.026973	0.000089	0.000048
3.410000	0.026533	0.006981	0.027727	0.026518	0.000088	0.000047
3.420000	0.026238	0.006981	0.001905	0.001138	0.000015	0.000004
3.430000	0.025919	0.004987	0.002270	0.002838	0.000017	0.000003
3.440000	0.025588	0.010472	0.000982	0.003354	0.000002	0.000009
3.450000	0.025257	0.010472	0.001430	0.001595	0.000010	0.000014
3.460000	0.024901	0.010472	0.003338	0.001359	0.000015	0.000016
3.470000	0.024484	0.006981	0.003777	0.004020	0.000011	0.000015
3.480000	0.024067	0.006981	0.003712	0.004078	0.000011	0.000015
3.490000	0.023613	0.011636	0.005117	0.012382	0.000008	0.000013
3.500000	0.023147	0.011636	0.003524	0.007641	0.000006	0.000012
3.509000	0.022644	0.004987	0.003891	0.006087	0.000000	0.000010
3.520000	0.022105	0.006981	0.004286	0.004249	0.000000	0.000010
3.530000	0.021577	0.006981	0.003524	0.003105	0.000000	0.000010
3.540000	0.021037	0.014544	0.011597	0.016005	0.000021	0.000018
3.549000	0.020473	0.013963	0.014627	0.016544	0.000032	0.000023
3.560000	0.019811	0.013963	0.023892	0.025090	0.000045	0.000027
3.570000	0.019185	0.000000	0.016112	0.008412	0.000081	0.000044
3.580000	0.018486	0.002909	0.014038	0.014204	0.000089	0.000048
3.590000	0.017762	0.002909	0.008619	0.010776	0.000059	0.000037
3.600000	0.016940	0.002909	0.003572	0.005131	0.000039	0.000030
3.610000	0.016217	0.002909	0.009271	0.009522	0.000023	0.000024
3.620000	0.015493	0.002909	0.001660	0.001664	0.000013	0.000008
3.630000	0.014757	0.000000	0.001759	0.002786	0.000018	0.000006
3.640000	0.013935	0.000000	0.002320	0.002005	0.000020	0.000004
3.650000	0.013162	0.008727	0.005408	0.003206	0.000011	0.000015
3.660000	0.012389	0.014544	0.004566	0.026611	0.000092	0.000047
3.670000	0.011653	0.014544	0.006878	0.011112	0.000152	0.000071
3.680000	0.010868	0.020362	0.021133	0.002835	0.000262	0.000115
3.690000	0.010145	0.000000	0.011393	0.014759	0.000287	0.000126
3.700000	0.009359	0.000000	0.021271	0.024193	0.000271	0.000122
3.710000	0.008513	0.008727	0.010142	0.005150	0.000198	0.000093
3.720000	0.007532	0.008727	0.009203	0.003837	0.000147	0.000071
3.730000	0.006624	0.026180	0.025394	0.057068	0.000253	0.000113
3.740000	0.005692	0.000000	0.014743	0.013054	0.000257	0.000116
3.750000	0.004735	0.000000	0.019214	0.021951	0.000259	0.000117
3.759000	0.003729	0.017453	0.021588	0.004500	0.000331	0.000145
3.770000	0.002576	0.000000	0.004712	0.002347	0.000339	0.000151
3.780000	0.001497	0.000000	0.011220	0.014625	0.000129	0.000068
3.790000	0.000417	0.021817	0.011446	0.004787	0.000271	0.000121
3.799000	-0.000687	0.014544	0.011906	0.032522	0.000294	0.000127
3.810000	-0.001914	0.014544	0.022561	0.029279	0.000245	0.000108
3.820000	-0.003103	0.004987	0.004643	0.003868	0.000230	0.000101
3.830000	-0.004293	0.004987	0.007274	0.007908	0.000222	0.000097
