当前时刻	小车位置	摆杆偏角	残差范数	
6.271000	-0.028962	0.014544	0.004144
6.281000	-0.029035	0.014544	0.003882
6.290000	-0.029170	0.014544	0.003655
6.300000	-0.029391	0.014544	0.003465
6.310000	-0.029685	0.014544	0.003317
6.321000	-0.030053	0.023271	0.011939
6.331000	-0.030421	0.010472	0.002497
6.340000	-0.030826	0.010472	0.001594
6.350000	-0.031255	0.004987	0.006232
6.361000	-0.031771	0.010472	0.001020
6.371000	-0.032237	0.010472	0.001546
6.380000	-0.032727	0.009973	0.001486
6.390000	-0.033243	0.009973	0.001929
6.401000	-0.033819	0.002909	0.004781
6.411000	-0.034383	0.017453	0.011328
6.420000	-0.034960	0.017453	0.010049
6.430000	-0.035573	0.014544	0.005991
6.441000	-0.036285	0.004987	0.004043
6.451000	-0.036947	0.004987	0.002704
6.460000	-0.037610	0.000000	0.006492
6.470000	-0.038247	0.000000	0.004557
6.481000	-0.039008	0.000000	0.002901
